Capterra-Forms-On-Fire
Job Title,Industry,Used For,Overall,Pros,Cons,Date
QA Manager,"Facilities Services, 201-500 employees",Used the software for: 1-2 years,"Pros: Flexibility and extensiveness of the platform, and ability to use Word/Excel as the template for PDF outputs.",Cons: Competitors have put more time into the reporting capabilities (front end ability to view/slice data) as well as form calculation formula,,"April 10, 2018"
,Unspecified,Used the software for: Less than 6 months,Overall: Software allowed our company to create a custom application that is available off and on-line with a business process that follows are customer support commitment. ,"Pros: We need a Form data capture application that makes best of reusing data and keeping data integrity across form relations. We found Forms On Fire not only is best in logically relating/linking data sources to forms, but it is a developer platform that considers versioning and testing. Though I only have 7 days to build this app, (the last app was built in ZOHO Creator and after working on it for over a week found the data sub form to form relation constraints difficult to work around.) I actually feel like I can be successful in our very import task of providing Export Quotes at an Expo.",,"February 2, 2018"
Social Media Consultant,"Marketing and Advertising, Self-employed",Used the software for: I used a free trial,Overall: Formsonfire is a flexible and user-friendly data collection and workflow automation tool that can help businesses streamline their operations and improve their efficiency. ,"Pros: The platform allows businesses to create customized forms and workflows that are tailored to their specific needs, and can be used across a range of industries and use cases. Additionally, Formsonfire provides users with a range of tools and features that can help them automate their processes, such as email and SMS notifications, integrations with third-party tools, and real-time reporting.Another advantage of using Formsonfire is its ease of use. The platform is designed to be intuitive and user-friendly, with a drag-and-drop form builder that makes it easy to create and customize forms. Additionally, Formsonfire provides users with a range of templates and pre-built forms that can be used as a starting point, saving time and reducing the learning curve.","Cons: While Formsonfire offers a range of pricing plans that are designed to be accessible to businesses of all sizes, the cost can add up quickly if you require a large number of forms or advanced features.Another potential issue with Formsonfire is its limited offline functionality. While the platform does allow users to collect data offline, there are some limitations to what can be done without an internet connection. This may be a concern for businesses that operate in areas with limited connectivity or require real-time data collection and reporting.","March 5, 2023"
Administrator,"Warehousing, 501-1000 employees",Used the software for: Less than 6 months,Overall: Creating templates that are easy to follow and use as a end user that help productivity for the company with a minimum chance of workflow stoppage has to be something to special. My overall experience has been really great at this point. Very impressed!!,Pros: It is simple to use and I'm not that tech savvy. My company uses this program and it was new to me but the initial introductory into learning and navigating through it was not too difficult as I started to use it. The ease of navigation is what I would say I like most about it.,"Cons: I used the app for my mobile which is overall good app and gets the job done also. However, it did clamp on me at one point but I'm not sure if it was my network on my end or the app. This was not a big deal because it did pick back up. Which goes to say I that my least issue was not that much of a issue.","August 28, 2021"
IT Director,"Food & Beverages, 201-500 employees",Used the software for: I used a free trial,"Overall: No sure, I just test it on a trial version and still on evaluation ","Pros: easy to implement, low code or no code, streamlining processes","Cons: No sure, I just test it on a trial version and still on evaluation ","August 24, 2022"
Senior Project Manager and AR VR Specialists,"Construction, 10,001+ employees",Used the software for: Less than 6 months,"Overall: We have been testing Forms on Fire for a week, with the intent to purchase for a large project.The product is incredible, compared to others that I have worked with.The Designer is very intuitive, yet has advanced features such as data sources, filtering, formulas, and dynamic answers.Essentially, this service can create almost any form imaginable.Finally, the support team has been amazing.I submitted some tickets and then numerous follow-up questions. The response time was not only fast, but the answers were helpful, and to date, any problem I found has been solved.Suggestion for improvement is updating the Windows app to match the newer beta features released in the iOS app, but I understand this may happen in the near future.",Pros: Intuitive design interface and ability to use data sources across multiple forms.,"Cons: Tough question, but perhaps the lack of the ability to connect directly to an SQL database (without the API) or publish fields directly to SharePoint.",
Global Business Analyst,"Marketing and Advertising, 10,001+ employees",Used the software for: Less than 6 months,Overall: We were addressing many business needs on the marketing demos side and can now coordinate those into efficiencies. Then merge that into analytics to drive business needs and strategies.,Pros: Format is very easy to use. Easy to save and return access. Easy for users navigate and easy for developer to build.,"Cons: Compared to other migration projects I really cannot answer this question at this time. We literally built, tested, and had users operational in week and that was with the education time. The instructor in this case was [SENSITIVE CONTENT] and he seems to have the right combination to coach/train developers like me that have just been introduced to the tool prior to the project development. ","September 1, 2022"
Past CEO,Unspecified,Used the software for: 2+ years,Pros: We were able to customize it to meet our needs of both the developers and the end users.The ability to take a few steps back was important to get the software working they way we wanted it to,Cons: The inability to change the structure of the software once we went too far down the development path.,,
Facilities Manager,"Hospitality, 201-500 employees",Used the software for: 2+ years,Overall: I work in student housing and every year about half of the residents move out all on the same day and we have to inspect every unit for damages in 1 day. Before we started using Forms On Fire we would be working until 2 or 3 in the morning doing everything on paper. Now we inspect every unit and are done by 5 pm. Cut the time in half.,Pros: How easy it was to use it and loved building my own app for our needs.,Cons: I can not think of any cons with Forms on Fire.,"June 21, 2019"
Senior Software Engineer,"Computer Software, 51-200 employees",Used the software for: 2+ years,Pros: Creating forms using this product is very quick and easy. The forms can be customized to product great professional looking forms.I also love their support right from when I started out with the trial version. They're always there and very helpful. ,Cons: Nothing at all. The software works as intended and produce great results. I'm impressed. ,,"November 26, 2018"
COO,"Construction, 11-50 employees",Used the software for: 1-2 years,"Overall: Forms on Fire has saved our company so much time and made us highly efficient.It's so nice to work with people who are not only great at customer service but know their own software fowards and backwards!",,,
,"Real Estate, 11-50 employees",Used the software for: 6-12 months,"Pros: - The software is packed with lots of features so that I can get almost any type of data from the user- The elements that can be used in the doc is extensive, and I can build great richer forms",Cons: - There is not freemium model and the pricing seems to high- The knowledge base provides tutorial for the basic level of data. But we need to figure out on out own for more advanced features.- Lots of bugs in the features,,"January 31, 2019"
President,"Facilities Services, Unspecified",Used the software for: Unspecified,"Overall: We did a side-by-side comparison with Prontoforms before settling on Forms On Fire.Technically, both products could meet our needs but Forms On Fire was much more cost-effective because it's much easier to configure (DIY = no big customizing expenses), plus Forms On Fire's service (sales and support) is in a league of its own!!This is an excellent choice I would recommend to everyone!","Pros: Makes customization accessible to the masses, therefore reducing overall cost.","Cons: The software has amazing capabilities, but there doesn't seem to be a complete tutorial to guide you through a lot of the stuff I can't do.There are a number of basic video tutorials available but if you want to do anything beyond the most basic, there is a fairly steep learning curve.",
,Unspecified,Used the software for: Unspecified,"Overall: I use Forms on Fire to make every day operations of my business more efficient and organized. Linking forms to connectors such as dropbox allowed us to quickly and easily access information in one space.Building forms is fairly simple, but I have gotten stuck a time or two.They have great customer service to help you through these kinks as well.",Pros: Very efficient and simple to learn and apply to operations.,Cons: The software does not really support repeating tables within repeating pages. Hopefully this can be corrected with time. I believe this would be a very strong feature.,
Manager of I.T.,"Education Management, 1001-5000 employees",Used the software for: 1-2 years,"Overall: Quick, accurate development, easy to install and use, attentive support makes a mighty nice package! ",Pros: Does exactly what we want.,Cons: Nothing. I can find nothing to criticize.,
estagiaria de pedagogia,"Primary/Secondary Education, 11-50 employees",Used the software for: 2+ years,"Overall: extremely satisfied, easy to use and instruct new hires.",Pros: What I like most about Forms On Fire is how easy it is to use the application's tools.,Cons: there are no defects regarding the application tools.,"February 9, 2023"
Use officer,"Construction, 51-200 employees",Used the software for: 6-12 months,Overall: Very easy to use ,Pros: Forms on fire combined all of the information needed to make my job better ,Cons: Nothing it's great koppens construction really easy to use for work ,"March 3, 2021"
Process Engineer,"Dairy, 11-50 employees",Used the software for: 6-12 months,Pros: The support from the Forms On Fire team to help find a way to mold their product to fit with our company processes.,"Cons: Some solutions could only be accomplished by feeding data through Google sheets, but the compatibility with these outside integrations has been fantastic.","Reasons for Choosing Forms On Fire: I had worked with forms on fire while with another company and had witnessed it's intuitive platform used by people, not good with electronics, with minimal problems. If they can do it, then I'm positive the folks here can figure it out too.","April 20, 2020"
Client Liaison,"Mechanical or Industrial Engineering, 11-50 employees",Used the software for: Less than 6 months,Overall: Great!,Pros: I had a team of 3 Forms on Fire employees working with me on the trial and then implementation for my organization. They were very responsive and helped train us to keep moving forward,Cons: No major complaints right now. But an easier solution for repeating tables or tables with info from data sources would be nice.,"April 14, 2022"
,"Renewables & Environment, 11-50 employees",Used the software for: 6-12 months,Overall: We use forms on fire as work intructions/reports of the technicians on site.,"Pros: The software can be customizable. It allows to create the forms directly from your requirement, don't need third parties.",Cons: They are pieces of the software that I haven't yet review. But so far I would say the dashboard could improve.,"March 2, 2021"
Director,"Consumer Services, Self-employed",Used the software for: 2+ years,Overall: Mobile has worked great!,"Pros: Ease or use, support, cost, robust/dynamic software",Cons: Maybe just visual - when you are working in the app - with the fields.,"April 19, 2020"
Route Manager 2,"Facilities Services, 201-500 employees",Used the software for: 1-2 years,Overall: Capability to create forms in the field instantaneously. ,Pros: Having categories and subcategories to tap and go easily.,"Cons: Some of the categories don't have all the features needed. For example, the tech sales form doesn't have the ability to choose specific options from a technicians available services.Not having cell service at all locations, could have an offline version.",
Compliance Manager,"Farming, 51-200 employees",Used the software for: 2+ years,Overall: Very pleased and looking forward to doing more with it in the future,Pros: Easy to use and understand.Customer support is always available to help with any issues.,"Cons: Uploads at times need to sync, if not watching close forget to do this","April 20, 2020"
Data Engineer,"Transportation/Trucking/Railroad, 1-10 employees",Used the software for: 1-2 years,"Overall: We have implemented Forms on Fire in a number of projects, replacing current workflows that use paper inspection forms. This has allowed us to have multiple users out in the field collecting data and having our reporting automatically generated. The result of this means that we have better data collection and better reporting. ",Pros: The level of customization available in the forms and data import/export formats allows for custom forms that can be easily put together and fit into existing data flows. ,Cons: Implementing some more advanced functionality can require quite a few steps to accomplish the desired outcome.,"April 20, 2020"
Director West Division ,"Consumer Goods, 11-50 employees",Used the software for: 6-12 months,Overall: I only use it by Mobil from my iPad and iPhone in the field on a weekly basis.,"Pros: The simplicity of using it for reporting, in filed updates, picture uploading. Also all recorded information is there the next time you log-in to that store from previous store visit.",Cons: I have no poor issues to report on FOF. It is much better then A3 that I had with a previous company.,"April 18, 2020"
,Unspecified,Used the software for: Unspecified,"Overall: I built a relatively complex form and workflow for field data gathering, submission, and approval within our company. Using this system, with help from the excellent support staff at FoF, I was able to have a functional app and process for demonstration and use in about 10% of the dedicated time it would have taken me to create a similar system from scratch. The only real problem I had with the system was a lack of documentation on particular function use, at the start of the project. Given the improvements I have seen in the knowledge base, I believe this is on the verge of being a non-issue. Also, in any case where documentation was missing, the staff gave solution suggestions and offered function use cases that might solve the problem I was working on.",,,
Project Manager,"Hospital & Health Care, 11-50 employees",Used the software for: 6-12 months,Overall: Working with the software designers at Forms on Fire was super easy. ,Pros: The software is inexpensive. Data input is super easy and the application never crashes.,Cons: After the report is generated I would like the ability to send it back to the software for edits. ,"April 22, 2022"
Entrepreneur,"Entertainment, Self-employed",Used the software for: I used a free trial,Pros: The idea is great and most of all the fact that you can see your work on an app on your phone is super usefull. ,Cons: Very very poor design and way too much information. I'm really not a tech guy and I've seen a lot of good reviews so sorry for this bad one but this could've been super usefull for me and Ican't use it because I do not understand anythinig that is going on. I can't put on photos on the app for instance,Reasons for Switching to Forms On Fire: Cause this one is a hundred time more intuitive,
President,Unspecified,Used the software for: Less than 6 months,"Pros: From the first minute I was introduced toForms on Fire and the team behind the product, I have been very impressed.The on-boarding process and training during the free trial was fantastic and gave me enough insight to develop a form that I expect can return as much as 20% on weekly data capture.As I got more into the product and discovered the robustness, the more I looked to do.The technical support provided by Customer support representative was awesome and so far above every other software company in this day and age.You get a real knowledgeable person and very timely response.On different occasions, Megan called me, did a web demo, or in several cases did some actual design on my form and provided me the syntax and formulas I needed. My first impression has held up, first class product and first class team behind it.","Cons: A few things are not as intuitive as I might like, but the great support overcame that.I was looking for a feature to display two columns on the form and they are working on that.",,
Pest control specialist,"Facilities Services, 201-500 employees",Used the software for: 1-2 years,"Overall: I use it for work, saves time and money on printer paper and in and space for printing supplies ",Pros: Emailing both self and client on paperwork filled out,Cons: It needs to have a bigger area for signatures ,"April 18, 2020"
Conservation Project Coordinator,Unspecified,Used the software for: Unspecified,"Overall: The app has a great user-interface and is intuitive.The screen graphics are clear and easy to see.The app will enable our field team to monitor all of our land interests efficiently and offline with a form that integrates tabular data and georeferenced photos.We are still in the development/testing phase with our custom monitoring form but we are confident that we will have the results we expected, having worked with Forms on Fire in the past.Ease of Use will likely be rated a 5 once we have fully completed testing.Forms on Fire sets the bar high for customer service - the staff is extremely knowledgeable, responsive, and a pleasure to work with.",,,
Freealncer,"Information Technology and Services, Self-employed",Used the software for: Less than 6 months,Overall: Simple and efficient to learn and apply to operations.,Pros: Their support is excellent and I highly recommend it.,Cons: The layout was overwhelming to look at. I think there could be a more organized way and a more sleek layout for the software.,"July 10, 2021"
Route Manager,"Public Safety, 201-500 employees",Used the software for: 6-12 months,"Overall: Overall, without much cell service, can still get a lot of the information uploaded.","Pros: We are able to upload reviews, help streamline very important information into one place, added sales portions recently as well.",Cons: We have yet to use this for all of sales. Map updates would be great.,
manager,"Individual & Family Services, 11-50 employees",Used the software for: I used a free trial,Overall: My overall experience with this software was very confusing. It took me way too long to find what I was looking for.,Pros: I really like the concept of this software and I am sure that it can be really helpful for some companies.,Cons: Personally I found this software very confusing. The layout was overwhelming to look at. I think there could be a more organized way and a more sleek layout for the software.,
,"Alternative Medicine, 1-10 employees",Used the software for: Less than 6 months,Pros: Super easy to use and the GUI is extremely well laid out.,"Cons: I've noticed so lagging when going through quickly, but it's nothing to write home about.",,
yoga instructor,1-10 employees,Used the software for: Less than 6 months,"Pros: It is customizable in every way, and is easy enough for a beginner to use. The interface is intuitive and the mobile app is great for limited quick use.",Cons: The constant emails I get from support are annoying. I also wish that some of the desktop features were available on the app.,,"January 12, 2018"
UI Designer,"Marketing and Advertising, 1001-5000 employees",Used the software for: 1-2 years,"Overall: Expérience très agréable, implémentation et support au top.","Pros: Facile de collecter et gérer la donnée des formulaires.J'aime bien l'interface agréable à utiliser, le drag and drop est sympa. Design intéressant. Plein d'API dispo si on veut aller beaucoup plus loin dans l'utilisation.",Cons: Parfois trop d'options et un peu complexe à utiliser.Le cout du premium peut être rédhibitoire. ,"February 16, 2023"
,"Computer Software, 1-10 employees",Used the software for: Less than 6 months,Pros: The support team was a major factor in the platforms success for me. They accelerated the boarding process massively and got us up and running in just a week!,Cons: Sometimes it's hard to edit the forms when you have a lot of pages.,,"February 9, 2019"
Marketing,11-50 employees,Used the software for: Less than 6 months,"Overall: We have been ready to drop close to 100k on software and this option has saved us time and money. The support team is smart and helpful.Great product.We also really appreciate how things are saved on the phone so if there is no reception you have it no matter what.",Pros: Offline functionality and customer support,Cons: Difficult user interface,
Compliance Manager,"Food Production, 11-50 employees",Used the software for: 1-2 years,Overall: My company uses Forms on Fire to complete monthly safety audits throughout the facility. Audits are distinguished by department and the corresponding OSHA guidelines. ,Pros: I appreciate that the software automatically uploads reports and any deviations to our system and emails it to the correct correspondents. ,Cons: I wish there was a comment section where I could explain a deviation that wasn't listed on the original form. ,"May 4, 2020"
Freelance Geographer,"Internet, 201-500 employees",Used the software for: Less than 6 months,Overall: Forms on Fire has allowed me to create in very few steps and without any sort of coding well made and helpful forms. ,"Pros:  There's plenty of things to like about Forms on Fire but the ones that I like the most are the fact that I can work offline as well as online, the fact that coding is not necessary and the fact that I can use across multiple devices are definitely the things I like the most. ","Cons: The prices is the only thing I like the least, is a bit to high compare to other similar options. ",
Software Developer,"Information Technology and Services, 1-10 employees",Used the software for: 6-12 months,Pros: Super easy to use with a high quality product as the end result.,Cons: I didn't experience anything while using FOF that gave me reason to pause,,"April 22, 2022"
property mgr,"Warehousing, 1-10 employees",Used the software for: Less than 6 months,Pros: ease of use and large selection of templates. ,Cons: application interactions. was able to make my own templates because of need.,,
content writing manager,Unspecified,Used the software for: Less than 6 months,Overall: Great software to create digital forms with collaboration,"Pros: You can develop your own solutions with Forms on Fire. One great feature is usage in offline mode which gets sync when comes online. Beautiful and functional dashboard, overview of team performance and integration with third party apps like Google drive, dropbox and more. Great customer support!",Cons: Need a free version and also a lot of emailing from communication team. Also need some more features in the desktop version.,"April 18, 2018"
,Unspecified,Used the software for: Unspecified,"Overall: Forms on Fire gave us an excellent option for collecting and analyizing research data in a variety of settings. We can eliminate or greatly minimize the need for paper notes that have to be translated into a digital platform for analysis and get our results more quickly. The support team are responsive, helpful and well-equipped. It was a great value and made a tremendous difference in our final product. Really great experience.This is afunctional, flexible, user-friendly efficient tool. ",,,
President/Co-owner,"Construction, 1-10 employees",Used the software for: 6-12 months,Pros: Very customizable and [SENSITIVE CONTENT HIDDEN] has a great attitude of care and concern for us! ,Cons: Definitely a learning curve to get it useful.,,"April 18, 2020"
,Unspecified,Used the software for: Unspecified,"Overall: Vetted out 7+ different form solutions.Forms on Fire met and exceeded all of our requirements.Some of Companies transitioning from heavy-paper processes will the ability to generate forms from existing .docx and .xlsx files helpful.Offline functionality helps with field forces that often work underground or off the grid.Database stores/retrievals help produce and leverage databases of equipment on-the-fly through the same form.",,,
Owner,Unspecified,Used the software for: Unspecified,Overall: I have spent the last 6 months trying to find software that will all me to complete sales in person with the use of a tablet.Just by chance I came across Forms on Fire and I'm really glad I did.I received personal attention and made themselves available even after hours.The software is simple to use and filling out my forms are just as easy.If you are a small business and would like to use mobile forms then Forms on Fire is the one I would go with.,,,
,Unspecified,Used the software for: Unspecified,"Overall: I was able to streamline the mobile process by having one point of data entry. Once the data was submitted, via a mobile device, I was able to automatically send out invoices, accounting data, analytics and connect it to my database. This created a huge savings in time and labor expense. The only issue I had with the product was learning how to use it. However the technical support team walked me through the learning process and now it is quite simple. ",,,
Owner,"Program Development, 1-10 employees",Used the software for: Less than 6 months,Overall: I am using forms on fire (for my company) to make it easier to collect info from my clients and on behalf of my clients,Pros: I like that it is easy to use. My clients have asked me what I use.,"Cons: Some times customer service is lagging. Nonetheless, most of the issues are solvable using the knowledge base and FAQs section.","December 19, 2018"
Flock Supervisor ,"Farming, 1-10 employees",Used the software for: 1-2 years,Overall: I don't always have service when using the app but all data is saved until I get back to cell service and it uploads. Very helpful!,Pros: It's really easy to use across multiple team members. ,Cons: I haven't had any issues with the app. It works for my use!,
,"E-Learning, 11-50 employees",Used the software for: Less than 6 months,"Pros: Very easy creation of forms, with many options in editor. Perfect solution for people running small business or not skilled coders. There are many features like barcode scanning and similar.",Cons: Some of the visual aspects could improve to look more professional. Both Forms on Fire and what you create in it.,,
Freelancer,"Arts and Crafts, Self-employed",Used the software for: I used a free trial,Pros: Appears basic to utilize want set set up. It has great options. They have a visual support which comes in handy and is very helpful when needed.,"Cons: I have no complaints it is a very good software and it gives me great results, I am very happy with it.",,"January 6, 2021"
,Unspecified,Used the software for: Unspecified,"Overall: Simple. Easy to use. Interacts well with other applications. Support is excellent! FOF is easy to use and the staff excels at Customer Service. Connecting with applications such as Google and DataStudio makes the forms more powerful. The product just plain works.",,,
,Unspecified,Used the software for: Unspecified,Overall: We reviewed several forms companies for our project. FoF was the best for all the areas rated as well as the fact they are simply great people to work with. Cannot say enough good things about the product and the people at Forms on Fire.,,,
CEO,Unspecified,Used the software for: Unspecified,"Overall: Getting going was easy, especially with all the friendly help they give you. Free training, online manual and the product is just plain bullet-proof!",Pros: It captures every type of data I need and connects to my own database.,Cons: Nothing.,
Integration Specialist,"Environmental Services, 201-500 employees",Used the software for: Less than 6 months,"Overall: Overall, I've been very impressed with their responsiveness and adaptability.",Pros: I like how many templates it comes with and how easy it is to build new forms.It makes the onboarding process much easier while being remote.,Cons: I think the whitelabel cost could be lower.,"July 14, 2021"
President,"Computer Software, 1-10 employees",Used the software for: Less than 6 months,"Overall: Have to create complex forms for cyclic checking buildings, healthcare, timesheets, orderforms , service and support etc.. After looking at some other tools I tried Forms On Fire. Here I was able to realize all things I need in a nice interface in a very short time. The support is perfect and fast, so I will integrate it in all my software and recommend it my customers. ",Pros: Support and web interface for building forms,"Recommendations to other buyers: its a little bit complicated tounderstand the connection between the parts, but with the very good support no problem.",
Operation manager ,"Environmental Services, 501-1000 employees",Used the software for: 1-2 years,Overall: Wonderful ,Pros: Easy to use and understand and very helpful,Cons: Everything was good and easy to setup on my cellphone ,"April 18, 2020"
Land Conservation Specialist,Unspecified,Used the software for: Unspecified,Overall: Customer service has been exceptionally good. Kendall and Sam have gone the extra mile for us. And we really like the product they have developed for our specific use.,,,
Owner,Unspecified,Used the software for: Unspecified,Overall: They hold your hand as you learn the software.They check in on you to see if they can help.They will even create forms for you if you get too busy!,,,
Chief Operating Officer,Unspecified,Used the software for: Unspecified,Overall: Forms on Fire have completely simplified office procedures.It's very easy to design the apps we need for our guys in the field!!Customer service has been fantastic!!!HIGHLY recommend!!!!,,,
other,"Insurance, 51-200 employees",Used the software for: I used a free trial,,,,
IT Manager,"Individual & Family Services, 11-50 employees",Used the software for: Less than 6 months,"Overall: Easy to use, good solid system and the price makes things easy to cancel or postpone for a month if need be",,,
